"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Paces","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:09:27    ","00:09:27    ","1","25","83","00:09:27    ","00:09:27    ","00:00:00    ","76","90","73","152","174","23","95"
"2","00:13:54    ","00:13:54    ","1","111","70","00:13:54    ","00:13:54    ","00:00:00    ","61","96","70","172","192","19","156"
"3","00:26:09    ","00:26:09    ","1","225","4","00:26:09    ","00:26:09    ","00:00:00    ","52","91","57","165","194","23","308"
"4","00:17:38    ","00:17:38    ","1","0","246","00:17:38    ","00:17:38    ","00:00:00    ","62","102","72","129","146","20","130"
"5","00:16:57    ","00:16:57    ","1","108","65","00:16:57    ","00:16:57    ","00:00:00    ","58","96","84","161","186","22","184"
"6","00:13:35    ","00:13:35    ","1","9","127","00:13:35    ","00:13:35    ","00:00:00    ","69","100","64","144","176","22","129"
"7","00:11:16    ","00:11:16    ","1","138","5","00:11:16    ","00:11:16    ","00:00:00    ","55","83","82","180","191","22","141"
"8","00:01:25    ","00:01:21    ","0.20","2","16","00:07:02    ","00:06:42    ","00:00:00    ","74","85","96","171","183","22","13"
"Summary","01:50:17    ","01:50:17    ","7.20","618","616","00:15:19    ","00:15:19    ","00:00:00    ","61","102","69","158","194","22","1157"
