"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Paces","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:08:40    ","00:08:40    ","1","67","6","00:08:40    ","00:08:40    ","00:00:00    ","68","83","86","116","161","18","48"
"2","00:06:34    ","00:06:34    ","1","58","7","00:06:34    ","00:06:34    ","00:00:00    ","79","83","98","173","193","16","84"
"3","00:11:37    ","00:11:37    ","1","101","5","00:11:37    ","00:11:37    ","00:00:00    ","56","82","74","172","192","17","132"
"4","00:11:30    ","00:11:30    ","1","46","9","00:11:30    ","00:11:30    ","00:00:00    ","62","87","75","164","184","18","137"
"5","00:10:28    ","00:10:28    ","1","24","106","00:10:28    ","00:10:28    ","00:00:00    ","67","95","74","150","178","17","96"
"6","00:12:48    ","00:12:48    ","1","11","158","00:12:48    ","00:12:48    ","00:00:00    ","74","99","69","146","166","16","121"
"7","00:07:30    ","00:07:30    ","1","42","15","00:07:30    ","00:07:30    ","00:00:00    ","73","88","94","176","192","15","99"
"8","00:05:50    ","00:05:50    ","1","0","55","00:05:50    ","00:05:50    ","00:00:00    ","79","85","117","165","177","14","56"
"9","00:06:50    ","00:06:50    ","1","7","23","00:06:50    ","00:06:50    ","00:00:00    ","75","85","101","145","181","16","65"
"10","00:07:03    ","00:07:03    ","1","37","10","00:07:03    ","00:07:03    ","00:00:00    ","78","96","92","181","190","16","89"
"11","00:01:39    ","00:01:23    ","0.26","2","3","00:06:27    ","00:05:24    ","00:00:00    ","83","84","111","185","189","17","27"
"Summary","01:30:22    ","01:30:13    ","10.26","395","397","00:08:49    ","00:08:48    ","00:00:00    ","70","99","82","158","193","17","955"
